episode,total_reward,avg_agent_reward
1,-29.661732160097166,-9.887244053365722
2,-84.69354130896049,-28.231180436320162
3,-93.63156644610004,-31.21052214870001
4,-76.62192606373878,-25.54064202124626
5,-99.54630301040342,-33.18210100346781
6,-84.71671928105874,-28.238906427019582
7,-83.42481303483844,-27.808271011612813
8,-54.11838105744006,-18.03946035248002
9,-62.82465193197304,-20.94155064399101
10,-64.61081460425493,-21.53693820141831
11,-65.25227559375404,-21.750758531251346
12,-65.73816725335172,-21.912722417783908
13,-46.328594645894995,-15.442864881964999
14,-38.95678468439283,-12.98559489479761
15,-81.1459961388228,-27.0486653796076
16,-96.31305434234775,-32.104351447449254
17,-36.562852402899864,-12.187617467633288
18,-93.42507939105505,-31.141693130351683
19,-50.4718802344873,-16.823960078162433
20,-47.67202176720866,-15.890673922402888
21,-72.56488165608727,-24.188293885362423
22,-66.38881351299112,-22.129604504330374
23,-35.051823180810096,-11.683941060270032
24,-71.1122052975559,-23.704068432518635
25,-105.59728580816602,-35.19909526938867
26,-61.22494122456632,-20.408313741522107
27,-68.57070323146779,-22.85690107715593
28,-66.86080202142554,-22.28693400714185
29,-44.52997243950277,-14.843324146500924
30,-55.16439785131364,-18.388132617104546
31,-63.94825786902577,-21.316085956341922
32,-59.720864995841055,-19.906954998613685
33,-64.76239979578745,-21.587466598595814
34,-89.15380337173038,-29.71793445724346
35,-68.03806397993596,-22.679354659978653
36,-92.31883386233055,-30.77294462077685
37,-67.79781733843888,-22.59927244614629
38,-84.72359588726958,-28.241198629089862
39,-30.20601021682315,-10.068670072274383
40,-50.091970029293456,-16.697323343097818
41,-54.60255918243284,-18.200853060810946
42,-48.190029198033216,-16.063343066011072
43,-77.23674094012686,-25.745580313375623
44,-59.56024459849202,-19.853414866164005
45,-42.35346409699178,-14.117821365663927
46,-76.82255203284812,-25.60751734428271
47,-63.058451614703465,-21.01948387156782
48,-63.17245400842657,-21.057484669475524
49,-94.96059992847049,-31.65353330949016
50,-48.681760207098904,-16.2272534023663
51,-38.135377849668956,-12.711792616556318
52,-40.34083525265768,-13.446945084219228
53,-80.19485140078558,-26.731617133595194
54,-51.998740388092486,-17.332913462697494
55,-33.836695666709815,-11.278898555569938
56,-47.42404084996887,-15.80801361665629
57,-54.92426553649911,-18.308088512166368
58,-63.24869303326719,-21.082897677755728
59,-52.37653145061757,-17.458843816872523
60,-66.45431573496995,-22.15143857832332
61,-34.63246355980692,-11.54415451993564
62,-49.87082591739947,-16.623608639133156
63,-67.09130189002796,-22.363767296675988
64,-84.35661019067336,-28.11887006355779
65,-82.3077117850651,-27.43590392835503
66,-22.30934140817745,-7.43644713605915
67,-69.44937230707129,-23.149790769023763
68,-97.42591689975197,-32.475305633250656
69,-42.41277332834025,-14.13759110944675
70,-53.743882472351146,-17.914627490783715
71,-44.20500655846878,-14.73500218615626
72,-35.36964264190748,-11.789880880635828
73,-126.4628251672615,-42.154275055753835
74,-78.7311180745647,-26.2437060248549
75,-57.71922066245813,-19.239740220819375
76,-57.80820734221961,-19.269402447406538
77,-69.54027914718841,-23.180093049062805
78,-88.03926050396667,-29.346420167988892
79,-92.11455640723642,-30.704852135745472
80,-76.0509326817617,-25.350310893920565
81,-58.84504798095092,-19.615015993650307
82,-51.66508743792869,-17.221695812642896
83,-46.38910230718761,-15.463034102395872
84,-61.45225515669581,-20.484085052231936
85,-68.64866042709966,-22.88288680903322
86,-101.1190351343092,-33.70634504476973
87,-147.17360673346673,-49.05786891115557
88,-94.94616326608957,-31.648721088696522
89,-100.95350373533722,-33.651167911779076
90,-135.2593583806052,-45.08645279353507
91,-65.0102662479161,-21.670088749305368
92,-154.88897022153049,-51.629656740510164
93,-59.513693824430874,-19.837897941476957
94,-165.3638086610589,-55.1212695536863
95,-123.88398533763763,-41.29466177921254
96,-86.33688553397957,-28.778961844659857
97,-61.72868528361438,-20.57622842787146
98,-91.28906724920412,-30.42968908306804
99,-87.39183690410981,-29.130612301369936
100,-176.64920746458688,-58.88306915486229
101,-72.80427302738295,-24.268091009127648
102,-68.42071940390534,-22.806906467968446
103,-94.12624526809708,-31.375415089365692
104,-97.94145058212641,-32.64715019404213
105,-87.1656972623712,-29.0552324207904
106,-85.56689893953646,-28.522299646512153
107,-94.07356218454592,-31.357854061515308
108,-74.71321881146744,-24.904406270489147
109,-124.70252353519389,-41.56750784506463
110,-86.1875029804512,-28.7291676601504
111,-72.5014321987692,-24.167144066256398
112,-86.36734521500907,-28.789115071669688
113,-75.43149490983987,-25.14383163661329
114,-58.12368309041898,-19.37456103013966
115,-96.37043993465609,-32.1234799782187
116,-73.91316232614734,-24.637720775382448
117,-116.95153055621435,-38.98384351873812
118,-61.789035333773185,-20.59634511125773
119,-66.03693313475502,-22.012311044918338
120,-92.081726530657,-30.693908843552332
121,-64.73601299019882,-21.57867099673294
122,-163.72977263111943,-54.57659087703981
123,-80.28464831103838,-26.761549437012793
124,-63.040027656466634,-21.013342552155546
125,-98.13967832844678,-32.71322610948226
