episode,total_reward,avg_agent_reward
1,-89.7378150467809,-29.91260501559363
2,-63.781054481114644,-21.26035149370488
3,-76.73497803481055,-25.57832601160352
4,-76.86233869897885,-25.62077956632628
5,-78.64600508051018,-26.215335026836726
6,-95.75736101522574,-31.91912033840858
7,-85.86616653104606,-28.622055510348687
8,-71.65952038014527,-23.886506793381756
9,-63.30256340519032,-21.100854468396772
10,-92.78885854766551,-30.929619515888504
11,-86.3443608413665,-28.78145361378883
12,-79.9689131644011,-26.6563043881337
13,-110.4643216993064,-36.82144056643546
14,-23.143476227661342,-7.714492075887114
15,-42.23333609158531,-14.077778697195102
16,-33.00325777842995,-11.001085926143316
17,-66.80563053618381,-22.26854351206127
18,-68.5194033205169,-22.839801106838966
19,-50.93344319411307,-16.97781439803769
20,-61.25433283962236,-20.418110946540786
21,-115.56347693171335,-38.52115897723778
22,-79.52408207813785,-26.508027359379284
23,-68.79757248354802,-22.932524161182673
24,-94.91131844067336,-31.637106146891117
25,-41.619092036005675,-13.873030678668558
26,-71.60703104845129,-23.869010349483762
27,-53.51169749514452,-17.837232498381507
28,-70.6050934174931,-23.535031139164364
29,-92.23504213507773,-30.74501404502591
30,-68.59681737170429,-22.865605790568097
31,-37.09417333153496,-12.364724443844986
32,-89.13402569147968,-29.711341897159894
33,-96.92336929135601,-32.30778976378534
34,-65.20715593548502,-21.735718645161672
35,-67.88369692497596,-22.62789897499199
36,-128.57707768102335,-42.85902589367445
37,-88.10122487410683,-29.367074958035612
38,-54.368122954734304,-18.1227076515781
39,-84.5791578876109,-28.193052629203635
40,-69.17312123627227,-23.05770707875742
41,-75.03256932705187,-25.010856442350626
42,-88.05234425530145,-29.350781418433815
43,-55.01451987535103,-18.338173291783676
44,-53.62305723956226,-17.87435241318742
45,-48.61619629626347,-16.205398765421155
46,-40.134358138049485,-13.378119379349828
47,-85.85931164016033,-28.61977054672011
48,-58.33014422509446,-19.443381408364818
49,-33.47031171236121,-11.156770570787069
50,-86.80577226856091,-28.93525742285364
