episode,total_reward,avg_agent_reward
1,-85.7769335275683,-28.5923111758561
2,-63.36820282467707,-21.122734274892355
3,-69.86050761184809,-23.28683587061603
4,-66.80315061026954,-22.267716870089846
5,-90.09036490796387,-30.030121635987957
6,-73.5326569253374,-24.510885641779137
7,-141.08084018719936,-47.02694672906645
8,-70.08576408018997,-23.361921360063324
9,-76.16923356842094,-25.38974452280698
10,-71.46985167813163,-23.823283892710545
11,-81.17687783000046,-27.058959276666823
12,-101.94227849764613,-33.980759499215374
13,-115.69374052721993,-38.56458017573998
14,-66.46198657751285,-22.153995525837615
15,-67.32003169761231,-22.440010565870768
16,-40.477462316289895,-13.492487438763298
17,-86.62030966751861,-28.873436555839536
18,-90.14187527308002,-30.04729175769334
19,-76.23370919601362,-25.411236398671207
20,-38.73785990223685,-12.912619967412283
21,-85.15961320411091,-28.386537734703637
22,-64.8175622364123,-21.6058540788041
23,-103.55990463947725,-34.51996821315908
24,-124.7806912792337,-41.59356375974456
25,-32.48473200336288,-10.828244001120959
26,-87.86038075677857,-29.286793585592857
27,-50.66100066305939,-16.887000221019797
28,-104.21681480861574,-34.73893826953858
29,-72.95328134084085,-24.31776044694695
30,-67.4841148785195,-22.494704959506503
31,-86.58072766262464,-28.860242554208213
32,-65.68481789839734,-21.89493929946578
33,-132.9185234218236,-44.306174473941205
34,-111.18375693678516,-37.06125231226172
35,-86.20383140686263,-28.734610468954212
36,-69.75198424464676,-23.250661414882256
37,-40.06236596642028,-13.35412198880676
38,-63.344914904435704,-21.1149716348119
39,-95.78569242241207,-31.928564140804024
40,-64.08097457792282,-21.360324859307607
41,-107.24570885222647,-35.748569617408826
42,-105.96285107247797,-35.320950357492656
43,-109.21113816028279,-36.40371272009426
44,-62.8047120563756,-20.934904018791865
45,-48.29160372625664,-16.097201242085546
46,-88.09066997552725,-29.363556658509083
47,-82.26499095403271,-27.421663651344236
48,-69.46354655102479,-23.154515517008264
49,-63.22735687331273,-21.075785624437575
50,-92.78787662141255,-30.929292207137518
51,-62.185587725482875,-20.728529241827626
52,-83.07987240052454,-27.693290800174847
53,-115.09997255518087,-38.36665751839362
54,-39.358717791955456,-13.119572597318486
55,-83.71165243349266,-27.903884144497553
56,-72.15073357436091,-24.050244524786972
57,-154.0814475239506,-51.360482507983534
58,-73.1514682472176,-24.383822749072532
59,-78.76949853184486,-26.256499510614955
60,-83.38249398621548,-27.794164662071825
61,-46.258795815152695,-15.419598605050899
62,-65.32686159610093,-21.775620532033642
63,-53.184554897628686,-17.728184965876228
64,-67.52585856349401,-22.508619521164672
65,-203.33594313287932,-67.77864771095977
66,-80.89791057817271,-26.96597019272424
67,-101.70004610433071,-33.90001536811024
68,-122.62699828355666,-40.875666094518884
69,-68.6168455843849,-22.872281861461634
70,-71.92382917965509,-23.974609726551694
71,-95.44780530816121,-31.815935102720402
72,-121.44100265091456,-40.48033421697152
73,-58.61190126943829,-19.537300423146096
74,-77.63289562855152,-25.87763187618384
75,-74.85082322438194,-24.950274408127314
76,-154.31062572242496,-51.43687524080832
77,-60.57145833542761,-20.190486111809204
78,-60.811194119829295,-20.2703980399431
79,-67.16301524030908,-22.387671746769694
80,-87.56890004856861,-29.189633349522868
81,-83.39078679286779,-27.79692893095593
82,-57.00869682390685,-19.002898941302284
83,-66.90293200068709,-22.30097733356236
84,-116.98414419017465,-38.99471473005821
85,-67.80402626935592,-22.601342089785305
86,-84.87793150304395,-28.292643834347984
87,-71.29914270910105,-23.76638090303368
88,-143.3930903612127,-47.7976967870709
89,-101.52742376534303,-33.84247458844768
90,-127.14541386922771,-42.3818046230759
91,-43.52092887351333,-14.506976291171108
